YYDD,Photons,Type
1947363,5.29,5
1947364,5.29,5
1947365,5.31,5
1948001,5.32,5
1948002,5.29,5
1948003,5.24,5
1948004,5.16,5
1948005,5.15,5
1948006,5.15,5
1948007,5.15,5
1948008,5.09,5
1948009,5.01,5
1948010,4.94,5
1948011,4.91,5
1948012,4.91,5
1948013,4.92,5
1948014,4.92,5
1948015,4.92,5
1948016,4.91,5
1948017,4.9,5
1948018,4.91,5
1948019,4.94,5
1948020,4.95,5
1948021,4.97,5
1948022,4.96,5
1948023,4.96,5
1948024,4.93,5
1948025,4.91,5
1948026,4.91,5
1948027,4.87,5
1948028,4.85,5
1948029,4.86,5
1948030,4.88,5
1948031,4.83,5
1948032,4.77,5
1948033,4.75,5
1948034,4.76,5
1948035,4.77,5
1948036,4.74,5
1948037,4.73,5
1948038,4.69,5
1948039,4.7,5
1948040,4.73,5
1948041,4.77,5
1948042,4.77,5
1948043,4.73,5
1948044,4.71,5
1948045,4.72,5
1948046,4.74,5
1948047,4.74,5
1948048,4.75,5
1948049,4.77,5
1948050,4.81,5
1948051,4.82,5
1948052,4.8,5
1948053,4.79,5
1948054,4.75,5
1948055,4.73,5
1948056,4.69,5
1948057,4.69,5
1948058,4.67,5
1948059,4.65,5
1948060,4.68,5
1948061,4.72,5
1948062,4.72,5
1948063,4.69,5
1948064,4.65,5
1948065,4.66,5
1948066,4.7,5
1948067,4.76,5
1948068,4.8,5
1948069,4.86,5
1948070,4.92,5
1948071,4.98,5
1948072,4.99,5
1948073,4.99,5
1948074,4.96,5
1948075,4.92,5
1948076,4.88,5
1948077,4.84,5
1948078,4.82,5
1948079,4.83,5
1948080,4.85,5
1948081,4.85,5
1948082,4.81,5
1948083,4.77,5
1948084,4.77,5
1948085,4.81,5
1948086,4.87,5
1948087,4.93,5
1948088,4.99,5
1948089,5.05,5
1948090,5.13,5
1948091,5.19,5
1948092,5.27,5
1948093,5.35,5
1948094,5.42,5
1948095,5.45,5
1948096,5.46,5
1948097,5.44,5
1948098,5.44,5
1948099,5.42,5
1948100,5.44,5
1948101,5.47,5
1948102,5.52,5
1948103,5.59,5
1948104,5.69,5
1948105,5.72,5
1948106,5.69,5
1948107,5.63,5
1948108,5.62,5
1948109,5.67,5
1948110,5.68,5
1948111,5.71,5
1948112,5.71,5
1948113,5.72,5
1948114,5.74,5
1948115,5.74,5
1948116,5.74,5
1948117,5.74,5
1948118,5.7,5
1948119,5.65,5
1948120,5.57,5
1948121,5.56,5
1948122,5.56,5
1948123,5.56,5
1948124,5.57,5
1948125,5.65,5
1948126,5.83,5
1948127,6.0,5
1948128,6.16,5
1948129,6.27,5
1948130,6.33,5
1948131,6.34,5
1948132,6.31,5
1948133,6.24,5
1948134,6.18,5
1948135,6.07,5
1948136,5.97,5
1948137,5.86,5
1948138,5.76,5
1948139,5.66,5
1948140,5.57,5
1948141,5.56,5
1948142,5.51,5
1948143,5.5,5
1948144,5.47,5
1948145,5.5,5
1948146,5.5,5
1948147,5.53,5
1948148,5.57,5
1948149,5.61,5
1948150,5.62,5
1948151,5.62,5
1948152,5.63,5
1948153,5.61,5
1948154,5.61,5
1948155,5.6,5
1948156,5.63,5
1948157,5.62,5
1948158,5.58,5
1948159,5.57,5
1948160,5.57,5
1948161,5.58,5
1948162,5.51,5
1948163,5.46,5
1948164,5.42,5
1948165,5.4,5
1948166,5.37,5
1948167,5.35,5
1948168,5.39,5
1948169,5.47,5
1948170,5.54,5
1948171,5.56,5
1948172,5.55,5
1948173,5.54,5
1948174,5.58,5
1948175,5.65,5
1948176,5.68,5
1948177,5.67,5
1948178,5.64,5
1948179,5.64,5
1948180,5.62,5
1948181,5.61,5
1948182,5.58,5
1948183,5.55,5
1948184,5.51,5
1948185,5.45,5
1948186,5.38,5
1948187,5.29,5
1948188,5.23,5
1948189,5.19,5
1948190,5.21,5
1948191,5.24,5
1948192,5.3,5
1948193,5.33,5
1948194,5.35,5
1948195,5.36,5
1948196,5.38,5
1948197,5.4,5
1948198,5.42,5
1948199,5.4,5
1948200,5.37,5
1948201,5.38,5
1948202,5.38,5
1948203,5.41,5
1948204,5.4,5
1948205,5.42,5
1948206,5.43,5
1948207,5.43,5
1948208,5.44,5
1948209,5.45,5
1948210,5.49,5
1948211,5.5,5
1948212,5.48,5
1948213,5.48,5
1948214,5.45,5
1948215,5.46,5
1948216,5.48,5
1948217,5.5,5
1948218,5.45,5
1948219,5.38,5
1948220,5.33,5
1948221,5.25,5
1948222,5.16,5
1948223,5.11,5
1948224,5.14,5
1948225,5.13,5
1948226,5.13,5
1948227,5.1,5
1948228,5.15,5
1948229,5.18,5
1948230,5.23,5
1948231,5.31,5
1948232,5.39,5
1948233,5.4,5
1948234,5.37,5
1948235,5.33,5
1948236,5.26,5
1948237,5.2,5
1948238,5.14,5
1948239,5.16,5
1948240,5.17,5
1948241,5.15,5
1948242,5.11,5
1948243,5.08,5
1948244,5.05,5
1948245,5.04,5
1948246,5.01,5
1948247,4.98,5
1948248,4.96,5
1948249,4.96,5
1948250,4.94,5
1948251,4.94,5
1948252,4.93,5
1948253,4.94,5
1948254,4.97,5
1948255,5.04,5
1948256,5.14,5
1948257,5.22,5
1948258,5.27,5
1948259,5.32,5
1948260,5.35,5
1948261,5.41,5
1948262,5.48,5
1948263,5.52,5
1948264,5.5,5
1948265,5.44,5
1948266,5.39,5
1948267,5.34,5
1948268,5.29,5
1948269,5.24,5
1948270,5.19,5
1948271,5.15,5
1948272,5.05,5
1948273,4.96,5
1948274,4.86,5
1948275,4.85,5
1948276,4.84,5
1948277,4.86,5
1948278,4.88,5
1948279,4.89,5
1948280,4.91,5
1948281,4.98,5
1948282,5.02,5
1948283,5.08,5
1948284,5.12,5
1948285,5.23,5
1948286,5.34,5
1948287,5.39,5
1948288,5.38,5
1948289,5.33,5
1948290,5.29,5
1948291,5.24,5
1948292,5.2,5
1948293,5.18,5
1948294,5.21,5
1948295,5.19,5
1948296,5.17,5
1948297,5.12,5
1948298,5.13,5
1948299,5.11,5
1948300,5.07,5
1948301,5.02,5
1948302,5.0,5
1948303,5.0,5
1948304,4.98,5
1948305,4.94,5
1948306,4.92,5
1948307,4.95,5
1948308,4.98,5
1948309,5.03,5
1948310,5.05,5
1948311,5.1,5
1948312,5.17,5
1948313,5.21,5
1948314,5.21,5
1948315,5.19,5
1948316,5.2,5
1948317,5.26,5
1948318,5.29,5
1948319,5.3,5
1948320,5.32,5
1948321,5.34,5
1948322,5.38,5
1948323,5.41,5
1948324,5.44,5
1948325,5.43,5
1948326,5.39,5
1948327,5.28,5
1948328,5.17,5
1948329,5.08,5
1948330,5.03,5
1948331,5.0,5
1948332,4.96,5
1948333,4.94,5
1948334,4.9,5
1948335,4.87,5
1948336,4.87,5
1948337,4.93,5
1948338,4.97,5
1948339,5.02,5
1948340,5.05,5
1948341,5.12,5
1948342,5.21,5
1948343,5.28,5
1948344,5.33,5
1948345,5.37,5
1948346,5.4,5
1948347,5.43,5
1948348,5.45,5
1948349,5.48,5
1948350,5.49,5
1948351,5.54,5
1948352,5.57,5
1948353,5.61,5
1948354,5.63,5
1948355,5.65,5
1948356,5.65,5
1948357,5.62,5
1948358,5.62,5
1948359,5.59,5
1948360,5.58,5
1948361,5.55,5
1948362,5.52,5
1948363,5.45,5
1948364,5.42,5
1948365,5.34,5
1948366,5.29,5
1949001,5.21,5
1949002,5.16,5
1949003,5.14,5
1949004,5.16,5
1949005,5.19,5
1949006,5.19,5
1949007,5.2,5
1949008,5.23,5
1949009,5.29,5
1949010,5.32,5
1949011,5.35,5
1949012,5.36,5
1949013,5.38,5
1949014,5.46,5
1949015,5.61,5
1949016,5.78,5
1949017,5.79,5
1949018,5.79,5
1949019,5.75,5
1949020,5.74,5
1949021,5.73,5
1949022,5.7,5
1949023,5.66,5
1949024,5.57,5
1949025,5.5,5
1949026,5.46,5
1949027,5.41,5
1949028,5.35,5
1949029,5.34,5
1949030,5.37,5
1949031,5.46,5
1949032,5.55,5
1949033,5.63,5
1949034,5.71,5
1949035,5.75,5
1949036,5.8,5
1949037,5.81,5
1949038,5.77,5
1949039,5.72,5
1949040,5.67,5
1949041,5.7,5
1949042,5.72,5
1949043,5.78,5
1949044,5.8,5
1949045,5.83,5
1949046,5.87,5
1949047,5.89,5
1949048,5.89,5
1949049,5.87,5
1949050,5.82,5
1949051,5.76,5
1949052,5.68,5
1949053,5.62,5
1949054,5.57,5
1949055,5.64,5
1949056,5.64,5
1949057,5.68,5
1949058,5.62,5
1949059,5.63,5
1949060,5.64,5
1949061,5.64,5
1949062,5.66,5
1949063,5.67,5
1949064,5.65,5
1949065,5.62,5
1949066,5.64,5
1949067,5.71,5
